Key,File,Type,UsedInMainMenu,NoTranslate,german,english
#Ui_display
Weight,UI,Menu,,,"Gewicht","Weight",
WeightAdded,UI,Menu,,,"Gewichtskapazität","Carrying Capacity",
xuiCarryStageTitle,UI,Stats,,,"Maximales Gewicht","Maximum weight",

#Buffs
odcl_BuffOverEncumbered,UI,Stat,,,"Du bist überladen!","You are overloaded!",
odcl_BuffOverEncumberedDesc,UI,Menu,,,"Du trägst zu viel und das macht Dich langsamer.\n\nEffekte:-[ff0000]{cvar($odcl_UIEncumberedMobility:00)}[-]% Mobilität","You carry too much and that slows you down.\n\nEffects:-[ff0000]{cvar($odcl_UIEncumberedMobility:00)}[-]% Mobility",
odcl_BuffOverEncumberedToolTip,UI,ToolTip,,,"[ed0000]Du bist überladen![-]","[ed0000]You are overloaded![-]",
#Blocks

#ItemsModifiers
odcl_LeatherBackpack,item,modbackpack,,,"Ledertasche","Leather Bag",
odcl_LeatherBackpackDesc,item,modbackpack,,,"Diese handliche Tasche aus echtem Leder passt auf jeden Rücken.","This handy bag made of genuine leather fits on every back.",
odcl_Backpack,item,modbackpack,,,"Alter Rucksack","Old Backpack",
odcl_BackpackDesc,item,modbackpack,,,"Nicht jeder hat das Glück, solch einen schönen Rucksack zu finden. Trotz seiner Alterserscheinung schafft er es, seinen Zweck zu erfüllen.","Not everyone is lucky enough to find such a beautiful backpack. Despite its age, it still manages to serve its purpose.",
odcl_AxisBackpack,item,modbackpack,,,"Alter Deutscher Rucksack","Old German Backpack",
odcl_AxisBackpackDesc,item,modbackpack,,,"Wie alt dieser Rucksack wohl sein mag, scheint niemand zu ahnen. Seine Arbeit, alles am richtigen Fleck zu tragen, schafft er allemal.","Nobody seems to know how old this backpack might be. But it certainly does its job of carrying everything in the right place.",
odcl_SurvivalBackpack,item,modbackpack,,,"Survival Rucksack","Survival Backpack",
odcl_SurvivalBackpackDesc,item,modbackpack,,,"Dieser großartige Rucksack könnte mal einem Künstler gehört haben. In ihm kann man fast alles verstauen, was man braucht.","This amazing backpack could have belonged to an artist. It can hold almost anything you need.",
