Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

quest_buried_supplies_response,Quest,Quest Info,,,"Buried Supplies ([DECEA3]{treasure.distance} {treasure.direction}[-])","Закопанные припасы ([DECEA3]{treasure.distance} {treasure.direction}[-])"
quest_clear_response,Quest,Quest Info,,,"Clear at [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])","Очистить [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_response,Quest,Quest Info,,,"Fetch at [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])","Принести из [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_fetch_clear_response,Quest,Quest Info,,,"Fetch / Clear at [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])","Принести / Очистить [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_restore_power_response,Quest,Quest Info,,,"[DB0006](Night Only)[-] Restore Power at [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])","[DB0006](Ночью)[-] Восстановить питание в [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_infestation_response,Quest,Quest Info,,,"Infested Clear at [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])","Нашествие в [FFB931]{poi.name}[-] ([DECEA3]{poi.distance} {poi.direction}[-])"
quest_next_trader_description,Quest,Quest Info,,,"Head to [FFB931]{goto.name}[-] and open a new trade route.","Отправляйтесь к [FFB931]{goto.name}[-] и откройте новый торговый маршрут."
quest_next_trader_response,Quest,Quest Info,,,"Opening Trade Routes ([DECEA3]{goto.distance} {goto.direction}[-])","Открытие торгового маршрута ([DECEA3]{goto.distance} {goto.direction}[-])"

cntSecureStorageChestLarge,blocks,block,,,"Large Secure Chest [ddcdfa](168)","Сундук для хранения с кодовым замком [ddcdfa](168)"
cntStorageChestLarge,blocks,block,,,"Large Insecure Chest [ddcdfa](168)","Сундук для хранения [ddcdfa](168)"
cntStorageGenericInsecureLarge,blocks,block,,,"Large Insecure Storage [ddcdfa](168)","Коробка для хранения [ddcdfa](168)"
cntStorageGenericLarge,blocks,block,,,"Large Secure Storage [ddcdfa](168)","Коробка для хранения [ddcdfa](168)"
cntStorageGenericSignedInsecureLarge,blocks,block,,,"Large Insecure Writable Storage [ddcdfa](168)","Коробка для хранения с надписью [ddcdfa](168)"
cntStorageGenericSignedLarge,blocks,block,,,"Large Writable Storage [ddcdfa](168)","Коробка для хранения с надписью [ddcdfa](168)"

perkPackMuleRank1LongDesc,progression,perk Str,,,"Who has time to organize their stuff perfectly? Carry [DECEA3]30[-] more items without being encumbered.","У нормальных людей нет времени складывать свои вещи аккуратно. Вы можете нести еще [DECEA3]30[-] предметов без последствий."
perkPackMuleRank2LongDesc,progression,perk Str,,,"You know it's in there somewhere. Carry an additional [DECEA3]30[-] more items without being encumbered.","Вы знаете, что эта штука где-то здесь. Вы можете нести [DECEA3]30[-] дополнительных предметов без последствий."
perkPackMuleRank3LongDesc,progression,perk Str,,,"You know exactly where everything is. Carry [DECEA3]30[-] additional items without being encumbered.","Вы отлично знаете, что где лежит. Вы можете нести [DECEA3]30[-] дополнительных предметов без последствий."
perkPackMuleRank4LongDesc,progression,perk Str,,,"You just passed inspection, private. Carry [DECEA3]40[-] more items without being encumbered.","Вы только что прошли проверку, рядовой.  Вы можете нести еще [DECEA3]40[-] предметов без последствий."
perkPackMuleRank5LongDesc,progression,perk Str,,,"Now you are just showing off, you are either part mule or a strongman. Carry [DECEA3]40[-] more items without being encumbered.","Теперь вы просто хвастаетесь. Вы либо наполовину мул, либо цирковой силач. Вы можете нести еще [DECEA3]40[-] предметов без последствий."

storageLargeVariantHelper,blocks,block,,,"Large Secure Storage [ddcdfa](168)","Коробка для хранения [ddcdfa](168)"
storageLargeVariantHelperDesc,blocks,block,,,"Put the crafted block on your hotbar, hold the Reload action and select the Shape entry from the radial menu. Click or Shift-Click to select a variant to build with.","Разместите созданный блок на панели быстрого доступа, удерживайте «Перезарядку» и выберите пункт «Форма» в круговом меню. Щелкните мышью или щелкните, удерживая нажатой клавишу Shift, чтобы выбрать вариант, который будете использовать для строительства."
