Key,Source,Context,Changes,English,russian

reqLevel10,progression,,,Character Level 10,Уровень персонажа 10
reqLevel20,progression,,,Character Level 20,Уровень персонажа 20
reqLevel30,progression,,,Character Level 30,Уровень персонажа 30
reqLevel40,progression,,,Character Level 40,Уровень персонажа 40
reqLevel50,progression,,,Character Level 50,Уровень персонажа 50

attprestige,progression,Attribute,New,Prestige Perks,Навыки престижа
attPrestigeNeme,progression,Attribute,New,Prestige Skills,Навыки престижа
attPrestigeDesc,progression,Attribute,New,Spend some of that redundant skill points on some neat extra effects!,Потратьте очки опыта на что-то новенькое!
PrestigeBase,progression,Attribute,New,Unlock Prestige,Открытие талантов престижа
PrestigeLongDesc,progression,Attribute,New,You've unlocked the prestige skills and now got full access to a bunch of new skillsets. Congrats!,Вы открыли навыки престижа и получаете доступ к комплекту новых умений!

Physical,progression,skills,New,Physical,Физическая сила
Mental,progression,skills,New,Mental,Умственное развитие
MeleeMasteries,progression,skills,New,Melee Masteries,Мастерство ближнего боя
RangedMasteries,progression,skills,New,Ranged Masteries,Мастерство дальнего боя
Luck,progression,skills,New,Luck,Удача

PhysicalDesc,progression,skills,New,Perks to increase some of your physical stats!,"Навыки, тренирующие ваше тело"
MentalDesc,progression,skills,New,Perks to increase some of your mental stats!,"Навыки, заостряющие ум"
MeleeMasteriesDesc,progression,skills,New,Perks for melee masteries!,Навыки ближнего боя
RangedMasteriesDesc,progression,skills,New,Perks for ranged masteries!,Навыки дальнего боя
LuckDesc,progression,skills,New,Perks to increase your luck in different ways!,"Навыки, подаренные Госпожой Удачей"

HealingArtsName,progression,Attribute,New,Healing Arts,Врачебное искусство
HealingArtsDesc,progression,Attribute,New,You've learned how to properly treat wounds and increase the effectivity of your attempts. (additive bonus),Вы умеете грамотно залечивать раны
HealingArtsRank1Desc,progression,Attribute,New,+25% Medical Healing,+25% к силе исцеления
HealingArtsRank2Desc,progression,Attribute,New,+45% Medical Healing,+45% к силе исцеления
HealingArtsRank3Desc,progression,Attribute,New,+60% Medical Healing,+60% к силе исцеления
HealingArtsRank4Desc,progression,Attribute,New,+70% Medical Healing,+70% к силе исцеления
HealingArtsRank5Desc,progression,Attribute,New,+75% Medical Healing,+75% к силе исцеления
HealingArtsRank1LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 25%.,Увеличивает эффективность исцеления с помощью медицинских средств на 25%.
HealingArtsRank2LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 45%.,Увеличивает эффективность исцеления с помощью медицинских средств на 45%.
HealingArtsRank3LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 60%.,Увеличивает эффективность исцеления с помощью медицинских средств на 60%.
HealingArtsRank4LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 70%.,Увеличивает эффективность исцеления с помощью медицинских средств на 70%.
HealingArtsRank5LongDesc,progression,Attribute,New,Increase the healing efficiency of medical items by 75%.,Увеличивает эффективность исцеления с помощью медицинских средств на 75%.

ArmorSpecialistName,progression,skills,New,Armor Specialist,Специалист-бронник
ArmorSpecialistDesc,progression,skills,New,"Your armor feels like a second skin and thus is even more durable now.","Ваша броня - словно ваша вторая кожа."
ArmorSpecialistRank1Desc,progression,skills,New,"-10% Armor Wearout","-10% к износу брони"
ArmorSpecialistRank2Desc,progression,skills,New,"-15% Armor Wearout","-15% к износу брони"
ArmorSpecialistRank3Desc,progression,skills,New,"-20% Armor Wearout","-20% к износу брони"
ArmorSpecialistRank4Desc,progression,skills,New,"-25% Armor Wearout","-25% к износу брони"
ArmorSpecialistRank5Desc,progression,skills,New,"-30% Armor Wearout","-30% к износу брони"
ArmorSpecialistRank1LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 10%","Уменьшает износ брони на 10%"
ArmorSpecialistRank2LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 15%","Уменьшает износ брони на 15%"
ArmorSpecialistRank3LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 20%","Уменьшает износ брони на 20%"
ArmorSpecialistRank4LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 25%","Уменьшает износ брони на 25%"
ArmorSpecialistRank5LongDesc,progression,skills,New,"Decrease the wearout of your armor by an additional 30%","Уменьшает износ брони на 30%"

WeaponSpecialistName,progression,skills,New,Weapon Specialist,Специалист-оружейник
WeaponSpecialistDesc,progression,skills,New,"You have become more proficient at maintaining weapons. As a result they are more durable.","Вы научились эффективно обслуживать оружие - и его прочность повышается."
WeaponSpecialistRank1Desc,progression,skills,New,"-10% Weapon Wearout",-10% к износу оружия
WeaponSpecialistRank2Desc,progression,skills,New,"-15% Weapon Wearout",-15% к износу оружия
WeaponSpecialistRank3Desc,progression,skills,New,"-20% Weapon Wearout",-20% к износу оружия
WeaponSpecialistRank4Desc,progression,skills,New,"-25% Weapon Wearout",-25% к износу оружия
