Key,File,Type,UsedInMainMenu,NoTranslate,german,english,russian

Weight,UI,Menu,,,"Gewicht","Weight",Вес
WeightAdded,UI,Menu,,,"Gewichtskapazität","Carrying Capacity","Текущая нагрузка"
xuiCarryStageTitle,UI,Stats,,,"Maximales Gewicht","Maximum weight","Макс. нагрузка"

odcl_BuffOverEncumbered,UI,Stat,,,"Du bist überladen!","You are overloaded!","Вы перегружены!"
odcl_BuffOverEncumberedDesc,UI,Menu,,,"Du trägst zu viel und das macht Dich langsamer.\n\nEffekte:-[ff0000]{cvar($odcl_UIEncumberedMobility:00)}[-]% Mobilität","You carry too much and that slows you down.\n\nEffects:-[ff0000]{cvar($odcl_UIEncumberedMobility:00)}[-]% Mobility",,"Вы несёте слишком много и не можете быстро передвигаться.\n\nШтраф: -[ff0000]{cvar($odcl_UIEncumberedMobility:00)}[-]% к мобильности"
odcl_BuffOverEncumberedToolTip,UI,ToolTip,,,"[ed0000]Du bist überladen![-]","[ed0000]You are overloaded![-]","[ed0000]Вы перегружены![-]"

odcl_LeatherBackpack,item,modbackpack,,,"Ledertasche","Leather Bag","Кожаный рюкзак (+30 кг)"
odcl_LeatherBackpackDesc,item,modbackpack,,,"Diese handliche Tasche aus echtem Leder passt auf jeden Rücken.","This handy bag made of genuine leather fits on every back.","Удобный рюкзак сделан из кожи и подходит для любой спины."
odcl_Backpack,item,modbackpack,,,"Alter Rucksack","Old Backpack","Старый рюкзак (+45 кг)"
odcl_BackpackDesc,item,modbackpack,,,"Nicht jeder hat das Glück, solch einen schönen Rucksack zu finden. Trotz seiner Alterserscheinung schafft er es, seinen Zweck zu erfüllen.","Not everyone is lucky enough to find such a beautiful backpack. Despite its age, it still manages to serve its purpose.","Не каждому повезёт обладать таким прекрасным рюкзаком. Невзирая на возраст, служит, как новый."
odcl_AxisBackpack,item,modbackpack,,,"Alter Deutscher Rucksack","Old German Backpack","Добротный немецкий рюкзак (+60 кг)"
odcl_AxisBackpackDesc,item,modbackpack,,,"Wie alt dieser Rucksack wohl sein mag, scheint niemand zu ahnen. Seine Arbeit, alles am richtigen Fleck zu tragen, schafft er allemal.","Nobody seems to know how old this backpack might be. But it certainly does its job of carrying everything in the right place.","Неизвестно, сколько лет этому произведению рюкзачного искусства, однако оно всё ещё позволит вам без проблем донести груз до нужного места."
odcl_SurvivalBackpack,item,modbackpack,,,"Survival Rucksack","Survival Backpack","Рюкзак выживальщика (+75 кг)"
odcl_SurvivalBackpackDesc,item,modbackpack,,,"Dieser großartige Rucksack könnte mal einem Künstler gehört haben. In ihm kann man fast alles verstauen, was man braucht.","This amazing backpack could have belonged to an artist. It can hold almost anything you need.","Восхитительный рюкзак, явно принадлежавший художнику. Поместится почти всё, что вам нужно."
odcl_GuitarBackpack,item,modbackpack,,,"Gitarren Rucksack","Guitar Backpack","Рюкзак-гитара (+90 кг)"
odcl_GuitarBackpackDesc,item,modbackpack,,,"Da hatte jemand die Idee, einen Rucksack aus einer alten Gitarre zu bauen. Andere wären neidisch, so ein seltenes Stück zu besitzen. Dieser Rucksack ist ein Unikat.","Someone had the idea of building a backpack from an old guitar. Others would be jealous of owning such a rare piece. This backpack is unique.","Кому-то в голову пришла идея сделать из гитары рюкзак. Удобно или нет, не главное - ведь вам с этой уникальной штукой будут завидовать все окружающие."
odcl_MilitaryBackpack,item,modbackpack,,,"Camoflage Rucksack","Camouflage Backpack","Камуфляжный рюкзак (+105 кг)"
odcl_MilitaryBackpackDesc,item,modbackpack,,,"Ein gewöhnlicher Rucksack im Camoflage-Stil.","A regular camouflage style backpack.","Обычный камуфляжный рюкзак. Но обычный - не означает маленький."
odcl_BigBackpack,item,modbackpack,,,"Großer Rucksack","Big Backpack","Огромный рюкзак (+120 кг)"
odcl_BigBackpackDesc,item,modbackpack,,,"Ein sehr großer Rucksack. Seinem Aussehen nach könnte er jemanden gehört haben, der beim Militär gewesen ist.","A very big backpack. From the looks of it, it could have belonged to someone who was in the military.","Гигантская ёмкость. Судя по внешнему виду, рюкзак явно принадлежал кому-то из военных."

odcl_LeatherBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Ledertasche[-]","[7e86ff]Blueprint Leather Bag[-]","[7e86ff]Схема: Кожаный рюкзак[-] (+30 кг)"
odcl_BackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Alter Rucksack[-]","[7e86ff]Blueprint Old Backpack[-]","[7e86ff]Схема: Старый рюкзак[-] (+45 кг)"
odcl_AxisBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Alter Deutscher Rucksack[-]","[7e86ff]Blueprint Old German Backpack[-]","[7e86ff]Схема: Добротный немецкий рюкзак[-] (+60 кг)"
odcl_SurvivalBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Survival Rucksack[-]","[7e86ff]Blueprint Survival Backpack[-]","[7e86ff]Схема: Рюкзак выживальщика[-] (+75 кг)"
odcl_GuitarBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Gitarren Rucksack[-]","[7e86ff]Blueprint Guitar Backpack[-]","[7e86ff]Схема: Рюкзак-гитара[-] (+90 кг)"
odcl_MilitaryBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Camoflage Rucksack[-]","[7e86ff]Blueprint Camouflage Backpack[-]","[7e86ff]Схема: Камуфляжный рюкзак[-] (+105 кг)"
odcl_BigBackpackSchematic,item,schematics,,,"[7e86ff]Blaupause Großer Rucksack[-]","[7e86ff]Blueprint Big Backpack[-]","[7e86ff]Схема: Огромный рюкзак[-] (+120 кг)"

schem_LeatherBackpackSchematicDesc,item,schematics,,,"Diese Ledertasche erweitert das Gesamtgewicht um [7eff84]30 kg[-].","This leather bag increases the carrying capacity by [7eff84]30 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]30 кг[-]."
schem_BackpackSchematicDesc,item,schematics,,,"Dieser Rucksack erweitert das Gesamtgewicht um [7eff84]45 kg[-].","This leather bag extends the carrying capacity by [7eff84]45 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]45 кг[-]."
schem_AxisBackpackSchematicDesc,item,schematics,,,"Dieser Rucksack erweitert das Gesamtgewicht um [7eff84]60 kg[-].","This leather bag extends the carrying capacity by [7eff84]60 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]60 кг[-]."
schem_SurvivalBackpackSchematicDesc,item,schematics,,,"Dieser Rucksack erweitert das Gesamtgewicht um [7eff84]75 kg[-].","This backpack increases the carrying capacity by [7eff84]75 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]75 кг[-]."
schem_GuitarBackpackSchematicDesc,item,schematics,,,"Dieser Rucksack erweitert das Gesamtgewicht um [7eff84]90 kg[-].","This leather bag extends the carrying capacity by [7eff84]90 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]90 кг[-]."
schem_MilitaryBackpackSchematicDesc,item,schematics,,,"Dieser Rucksack erweitert das Gesamtgewicht um [7eff84]105 kg[-].","This leather bag extends the carrying capacity by [7eff84]105 kg[-].","Этот рюкзак увеличивает переносимый вес на [7eff84]105 кг[-]."
