Key,File,Type,UsedInMainMenu,NoTranslate,english

FPSPoweredLightVariantHelper,blocks,Block,,,FPS Powered Light
FPSPoweredLightVariantHelperDesc,blocks,Block,,,"A collection of light sources that require power.  Put the crafted block on your toolbelt, hold the Reload key and select the SHAPE entry from the radial menu."

FPSPoweredlightDesc,blocks,Block,,,"A placeable light source that requires power."

FPSPoweredlightPorchWhite,blocks,Block,,,FPS White Porch Light
FPSPoweredlightPorchBrown,blocks,Block,,,FPS Brown Porch Light
FPSPoweredlightPorchYellow,blocks,Block,,,FPS Yellow Porch Light
FPSPoweredlightPorchGreen,blocks,Block,,,FPS Green Porch Light
FPSPoweredlightPorchGrey,blocks,Block,,,FPS Grey Porch Light
FPSPoweredlightPorchBlack,blocks,Block,,,FPS Black Porch Light
FPSPoweredlightWallGooseneckWhite,blocks,Block,,,FPS White Gooseneck Light
FPSPoweredlightWallGooseneckBrown,blocks,Block,,,FPS Brown Gooseneck Light
FPSPoweredlightWallGooseneckRed,blocks,Block,,,FPS Red Gooseneck Light
FPSPoweredlightWallGooseneckOrange,blocks,Block,,,FPS Orange Gooseneck Light
FPSPoweredlightWallGooseneckYellow,blocks,Block,,,FPS Yellow Gooseneck Light
FPSPoweredlightWallGooseneckGreen,blocks,Block,,,FPS Green Gooseneck Light
FPSPoweredlightWallGooseneckBlue,blocks,Block,,,FPS Blue Gooseneck Light
FPSPoweredlightWallGooseneckPurple,blocks,Block,,,FPS Purple Gooseneck Light
FPSPoweredlightWallGooseneckGrey,blocks,Block,,,FPS Grey Gooseneck Light
FPSPoweredlightWallGooseneckBlack,blocks,Block,,,FPS Black Gooseneck Light
FPSPoweredlightWallGooseneckPink,blocks,Block,,,FPS Pink Gooseneck Light
FPSPoweredlightWallGooseneckArmyGreen,blocks,Block,,,FPS Army Green Gooseneck Light
FPSPoweredlightCeilingBulbMountWhite,blocks,Block,,,FPS White Light Bulb Flush Mount
FPSPoweredlightCeilingBulbMountBlack,blocks,Block,,,FPS Black Light Bulb Flush Mount
FPSPoweredlightCeilingBulbMount_2x2White,blocks,Block,,,FPS White Light Bulb Flush Mount 2x2
FPSPoweredlightCeilingBulbMount_2x2Black,blocks,Block,,,Black Light Bulb Flush Mount 2x2
FPSPoweredlightCeilingBulbSocketWhite,blocks,Block,,,FPS White Light Bulb Socket
FPSPoweredlightCeilingBulbSocketBlack,blocks,Block,,,FPS Black Light Bulb Socket
FPSPoweredlightCeilingBulbSocket_2x2White,blocks,Block,,,FPS White Light Bulb Socket 2x2
FPSPoweredlightCeilingBulbSocket_2x2Black,blocks,Block,,,FPS Black Light Bulb Socket 2x2
FPSPoweredceilingLight02,blocks,Block,,,FPS Silver Dome Light
FPSPoweredceilingLight02_2x2,blocks,Block,,,FPS Silver Dome Light 2x2
FPSPoweredceilingLight02Brass,blocks,Block,,,FPS Brass Dome Light
FPSPoweredceilingLight02Brass_2x2,blocks,Block,,,FPS Brass Dome Light 2x2
FPSPoweredceilingLight04,blocks,Block,,,FPS Warehouse Ceiling Light
FPSPoweredceilingLight05,blocks,Block,,,FPS Silver Glass Light
FPSPoweredceilingLight05Brass,blocks,Block,,,FPS Brass Glass Light
FPSPoweredrecessedLight,blocks,Block,,,FPS Recessed Light
FPSPoweredrecessedLight_2x2,blocks,Block,,,FPS Recessed Light 2x2
FPSPoweredrecessedLightOffset,blocks,Block,,,FPS Recessed Light Offset
FPSPoweredrecessedLight_2x2Offset,blocks,Block,,,FPS Recessed Light 2x2 Offset
FPSPoweredlightCeiling07,blocks,Block,,,FPS Fluorescent Light
FPSPoweredlightCeiling07_2x2,blocks,Block,,,FPS Fluorescent Light 2x2
FPSPoweredfluorescentLight,blocks,Block,,,FPS Fluorescent Light
FPSPoweredtrackLight,blocks,Block,,,FPS Track Light
FPSPoweredlightPanelLEDWhite,blocks,Block,,,FPS White LED Light Panel
FPSPoweredlightPanelLEDSilver,blocks,Block,,,FPS Silver LED Light Panel
FPSPoweredlightPanelLEDGrey,blocks,Block,,,FPS Grey LED Light Panel
FPSPoweredlightPanelLEDBlack,blocks,Block,,,FPS Black LED Light Panel
FPSPoweredlightPanelLEDOffsetWhite,blocks,Block,,,FPS White LED Light Panel, Offset 01
FPSPoweredlightPanelLEDOffsetSilver,blocks,Block,,,FPS Silver LED Light Panel, Offset 01
FPSPoweredlightPanelLEDOffsetGrey,blocks,Block,,,FPS Grey LED Light Panel, Offset 01
FPSPoweredlightPanelLEDOffsetBlack,blocks,Block,,,Black LED Light Panel, Offset 01
FPSPoweredlightPanelLEDOffset02White,blocks,Block,,,FPS White LED Light Panel, Offset 02
FPSPoweredlightPanelLEDOffset02Silver,blocks,Block,,,FPS Silver LED Light Panel, Offset 02
FPSPoweredlightPanelLEDOffset02Grey,blocks,Block,,,FPS Grey LED Light Panel, Offset 02
FPSPoweredlightPanelLEDOffset02Black,blocks,Block,,,FPS Black LED Light Panel, Offset 02
FPSPoweredindustrialLight01,blocks,Block,,,FPS Industrial Light 01
FPSPoweredlightIndustrial,blocks,Block,,,FPS Industrial Light 02
FPSPoweredlightIndustrialRed,blocks,Block,,,FPS Red Industrial Light
FPSPoweredlightIndustrialMountedWall,blocks,Block,,,FPS Industrial Mounted Wall Light
FPSPoweredlightIndustrialMountedWallRed,blocks,Block,,,FPS Red Industrial Mounted Wall Light
FPSPoweredlightIndustrialHangingWhite,blocks,Block,,,FPS White Industrial Hanging Light
FPSPoweredlightIndustrialHangingBrown,blocks,Block,,,FPS Brown Industrial Hanging Light
FPSPoweredlightIndustrialHangingGrey,blocks,Block,,,FPS Grey Industrial Hanging Light
FPSPoweredlightIndustrialHangingBlack,blocks,Block,,,FPS Black Industrial Hanging Light
FPSPoweredlightSconce,blocks,Block,,,FPS Sconce Light
