Key,File,Type,UsedInMainMenu,english,russian

zrb-bluntresist1,buffs,buff,,"Blunt Resist, Lv. 1","Сопр. дробящему урону, Ур. 1"
zrb-bluntresist2,buffs,buff,,"Blunt Resist, Lv. 2","Сопр. дробящему урону, Ур. 2"
zrb-bluntresist3,buffs,buff,,"Blunt Resist, Lv. 3","Сопр. дробящему урону, Ур. 3"
zrb-bluntresist4,buffs,buff,,"Blunt Resist, Lv. 4","Сопр. дробящему урону, Ур. 4"
zrb-bluntresist5,buffs,buff,,"Blunt Resist, Lv. 5","Сопр. дробящему урону, Ур. 5"

zrb-kniferesist1,buffs,buff,,"Knife Resist, Lv. 1","Сопр. урону от ножей/клинков, Ур. 1"
zrb-kniferesist2,buffs,buff,,"Knife Resist, Lv. 2","Сопр. урону от ножей/клинков, Ур. 2"
zrb-kniferesist3,buffs,buff,,"Knife Resist, Lv. 3","Сопр. урону от ножей/клинков, Ур. 3"
zrb-kniferesist4,buffs,buff,,"Knife Resist, Lv. 4","Сопр. урону от ножей/клинков, Ур. 4"
zrb-kniferesist5,buffs,buff,,"Knife Resist, Lv. 5","Сопр. урону от ножей/клинков, Ур. 5"

zrb-fistresist1,buffs,buff,,"Fist Resist Lv. 1","Сопр. урону без оружия, Ур. 1"
zrb-fistresist2,buffs,buff,,"Fist Resist Lv. 2","Сопр. урону без оружия, Ур. 2"
zrb-fistresist3,buffs,buff,,"Fist Resist Lv. 3","Сопр. урону без оружия, Ур. 3"
zrb-fistresist4,buffs,buff,,"Fist Resist Lv. 4","Сопр. урону без оружия, Ур. 4"
zrb-fistresist5buffs,buff,,"Fist Resist Lv. 5","Сопр. урону без оружия, Ур. 5"

zrb-arrowresist1,buffs,buff,,"Arrow/Bolt Resist Lv. 1","Сопр. урону от стрел/болтов, Ур. 1"
zrb-arrowresist2,buffs,buff,,"Arrow/Bolt Resist Lv. 2","Сопр. урону от стрел/болтов, Ур. 2"
zrb-arrowresist3,buffs,buff,,"Arrow/Bolt Resist Lv. 3","Сопр. урону от стрел/болтов, Ур. 3"
zrb-arrowresist4,buffs,buff,,"Arrow/Bolt Resist Lv. 4","Сопр. урону от стрел/болтов, Ур. 4"
zrb-arrowresist5,buffs,buff,,"Arrow/Bolt Resist Lv. 5","Сопр. урону от стрел/болтов, Ур. 5"

zrb-armourpenetration1,buffs,buff,,"Armor Penetration, Lv. 1","Пробитие брони, Ур. 1"
zrb-armourpenetration2,buffs,buff,,"Armor Penetration, Lv. 2","Пробитие брони, Ур. 2"
zrb-armourpenetration3,buffs,buff,,"Armor Penetration, Lv. 3","Пробитие брони, Ур. 3"
zrb-armourpenetration4,buffs,buff,,"Armor Penetration, Lv. 4","Пробитие брони, Ур. 4"
zrb-armourpenetration5,buffs,buff,,"Armor Penetration, Lv. 5","Пробитие брони, Ур. 5"

zrb-armourreducation1,buffs,buff,,"Armor Reducation, Lv. 1","Повреждение брони, Ур. 1"
zrb-armourreducation2,buffs,buff,,"Armor Reducation, Lv. 2","Повреждение брони, Ур. 2"
zrb-armourreducation3,buffs,buff,,"Armor Reducation, Lv. 3","Повреждение брони, Ур. 3"
zrb-armourreducation4,buffs,buff,,"Armor Reducation, Lv. 4","Повреждение брони, Ур. 4"
zrb-armourreducation5,buffs,buff,,"Armor Reducation, Lv. 5","Повреждение брони, Ур. 5"

zrb-bulletresist1,buffs,buff,,"Bullet Resist Lv. 1","Сопр. урону от пуль, Ур. 1"
zrb-bulletresist2,buffs,buff,,"Bullet Resist Lv. 2","Сопр. урону от пуль, Ур. 2"
zrb-bulletresist3,buffs,buff,,"Bullet Resist Lv. 3","Сопр. урону от пуль, Ур. 3"
zrb-bulletresist4,buffs,buff,,"Bullet Resist Lv. 4","Сопр. урону от пуль, Ур. 4"
zrb-bulletresist5buffs,buff,,"Bullet Resist Lv. 5","Сопр. урону от пуль, Ур. 5"

zrb-decapresist1,buffs,buff,,"Decapitation Resist Lv. 1","Сопр. обезглавливанию, Ур. 1"
zrb-decapresist2,buffs,buff,,"Decapitation Resist Lv. 2","Сопр. обезглавливанию, Ур. 2"
zrb-decapresist3,buffs,buff,,"Decapitation Resist Lv. 3","Сопр. обезглавливанию, Ур. 3"
zrb-decapresist4,buffs,buff,,"Decapitation Resist Lv. 4","Сопр. обезглавливанию, Ур. 4"
zrb-decapresist5,buffs,buff,,"Decapitation Resist Lv. 5","Сопр. обезглавливанию, Ур. 5"

zrb-explosiveresist1,buffs,buff,,"Explosives Resist Lv. 1","Сопр. урону от взрывов, Ур. 1"
zrb-explosiveresist2,buffs,buff,,"Explosives Resist Lv. 2","Сопр. урону от взрывов, Ур. 2"
zrb-explosiveresist3,buffs,buff,,"Explosives Resist Lv. 3","Сопр. урону от взрывов, Ур. 3"
zrb-explosiveresist4,buffs,buff,,"Explosives Resist Lv. 4","Сопр. урону от взрывов, Ур. 4"
zrb-explosiveresist5,buffs,buff,,"Explosives Resist Lv. 5","Сопр. урону от взрывов, Ур. 5"

