Key,English,Russian
vehicleNovachassis,Chevrolet Nova Chassis,Шасси Chevrolet Nova
vehicleNovachassisDesc,Parts needed to craft the Chevrolet Nova.,Запчасти для создания Chevrolet Nova
vehicleNovaaccessories,Chevrolet Nova Accessories,Детали Chevrolet Nova
vehicleNovaaccessoriesDesc,Parts needed to craft the Chevrolet Nova.,Запчасти для создания Chevrolet Nova
vehicleNova,Chevrolet Nova Blue,Chevrolet Nova Blue
vehicleNovaplaceable,Chevrolet Nova Blue,Chevrolet Nova Blue
vehicleNovaplaceableDesc,Classic,Нестареющая классика
vehicleNovared,Chevrolet Nova Red,Chevrolet Nova Red
vehicleNovaredplaceable,Chevrolet Nova Red,Chevrolet Nova Red
vehicleNovaredplaceableDesc,Classic,Нестареющая классика
vehicleNovablack,Chevrolet Nova Black,Chevrolet Nova Black
vehicleNovablackplaceable,Chevrolet Nova Black,Chevrolet Nova Black
vehicleNovablackplaceableDesc,Classic,Нестареющая классика
