Key,File,Type,UsedInMainMenu,NoTranslate,english,russian

drinkSodaBrewCola,items,Food,,,Brew Cola,"Обычная кола"
drinkSodaBrewColaDesc,items,Food,,,"Old can of Brew-Cola soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка обычной колы. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaCitrus,items,Food,,,Citrus Splash,"Цитрусовый взрыв"
drinkSodaCitrusDesc,items,Food,,,"Old can of Citrus Splash soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Цитрусовый взрыв. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaREGCola,items,Food,,,Fructosa Cola,"Кола с фруктозой"
drinkSodaREGColaDesc,items,Food,,,"Old can of Fructosa Cola soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка колы с фруктозой. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaDIETCola,items,Food,,,Diet Fructosa Cola,"Диетическая кола с фруктозой"
drinkSodaDIETColaDesc,items,Food,,,"Old can of Fructosa Cola soda, Diet version. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка диетической колы с фруктозой. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaEnergyShot,items,Food,,,Energy Shot,Энергетический заряд
drinkSodaEnergyShotDesc,items,Food,,,"Old can of Energy Shot soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Энергетический заряд. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaLemon,items,Food,,,Lemon Zip,"Лимонка"
drinkSodaLemonDesc,items,Food,,,"Old can of Lemon Zip soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Лимонка. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaPeppy,items,Food,,,Peppy PhD,"Доктор Пеппи"
drinkSodaPeppyDesc,items,Food,,,"Old can of Peppy PhD soda. More than likely flat.\n\nYou should probably only drink this if you're desperate.","Банка газировки Доктор Пеппи. Возможно, полупустая.\n\nНе стоит пить без крайней необходимости."
drinkSodaRootBeer,items,Food,,,Old Tyme Root Beer,"Рутбир Старого Тима"
