Key,File,Type,UsedInMainMenu,NoTranslate,english,russian
buffMiningTipDisplayDesc,buffs,Buff,,,Ore deposits will respawn in 5 minutes.,Подземные рудные месторождения иногда можно опознать по выходу рудных валунов на поверхность.
buffMiningTipDisplayName,buffs,Buff,,,Mining Tip,Подсказка о добыче руды
buffMiningTipDisplayTooltip,buffs,Buff,,,This ore deposit will respawn in 5 minutes.,"Похоже, здесь залежи руды."
perkArtOfMiningCompleteDesc,progression,perk  book,,,Have a 20% chance to do 10x more damage to any ore.,Вероятность 20% нанести десятикратный урон по любой руде.
perkArtOfMiningCompleteLongDesc,progression,perk  book,,,One Shot: You can't find the glory hole muckin around. Crack rock like a pro with this tip. With a mining tool you have a 20% chance to do 10x more damage to any ore.,"С одного выстрела: Валяя дурака, шахту не найдешь. Работайте с горными породами как профессионал. При использовании горного инструмента вероятность 20% нанести десятикратный урон по любой руде."
rockResource,blocks,Block,,,Stone Boulder,Ресурс: Булыжники
rockResource02,blocks,Block,,,Stone Boulder,Ресурс: Булыжники
rockResourceRespawner,blocks,Block,,,Stone Boulder Respawner,"Источник камня"
rockResource02Respawner,blocks,Block,,,Stone Boulder Respawner,"Источник камня"
rockResourceDesc,blocks,Block,,,"Stone Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник камня\n \nВозродится через 15 минут после добычи."
oreIronBoulderRespawner,blocks,Block,,,"Iron Boulder Respawner","Источник железа"
oreIronBoulderRespawnerDesc,blocks,Block,,,"Iron Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник железа\n \nВозродится через 15 минут после добычи."
oreLeadBoulderRespawner,blocks,Block,,,"Lead Boulder","Источник свинца"
oreLeadBoulderRespawnerDesc,blocks,Block,,,"Lead Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник свинца\n \nВозродится через 15 минут после добычи."
oreCoalBoulderRespawner,blocks,Block,,,"Coal Boulder","Источник угля"
oreCoalBoulderRespawnerDesc,blocks,Block,,,"Coal Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник угля\n \nВозродится через 15 минут после добычи."
orePotassiumNitrateBoulderRespawner,blocks,Block,,,"Potassium Nitrate Boulder","Источник селитры"
orePotassiumNitrateBoulderRespawnerDesc,blocks,Block,,,"Potassium Nitrate Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник селитры\n \nВозродится через 15 минут после добычи."
oreShaleBoulderRespawner,blocks,Block,,,"Oil Shale Boulder","Источник нефтяного сланца"
oreShaleBoulderRespawnerDesc,blocks,Block,,,"Oil Shale Boulder\n \nThis boulder will respawn within 15 minutes of being destroyed.","Источник нефтяного сланца\n \nВозродится через1 5 минут после добычи."
resourceRespawnerDesc,blocks,Block,,,This boulder will respawn within 15 minutes of being destroyed,Источник этого ресурса возродится через 15 минут после добычи
oreVeinDesc,blocks,Block,,,"You are no longer able to mine ore veins! You can only mine the ore boulders on the surface.","Рудные жилы больше нельзя копать, добывайте источники ресурсов на поверхности"
stoneResourceDesc,blocks,Block,,, , 
gravelResourceDesc,blocks,Block,,, , 
Stone,blocks,Block,,,Stone,"Камень (искусственный)"
Gravel,blocks,Block,,,Gravel,"Гравий (искусственный)"
