Key,File,Type,UsedInMainMenu,english,russian

resourceBurningDesc,items,Item,,"Special fuel briquettes ensure combustion for up to 600 minutes. Recommended for stable operation and safety of workstations.","Специальные топливные брикеты обеспечивают горение вплоть до 600 минут. Рекомендованы к использованию для стабильной работы и сохранности рабочих станций."
resourceCoal600,items,Item,,"Coal Fuel Briquette","Угольный топливный брикет"
resourceWood600,items,Item,,"Wood Fuel Briquette","Древесный топливный брикет"

AMSStarterPackDesc,items,Item,,"Hello, Survivor! To make your immersion into the Land of Harmful Zombies easier and more enjoyable, we give you this little gift. Spend it wisely!","Привет, Выживший! Чтобы погружение в Страну Вредных Зомби прошло легче и приятнее, дарим тебе этот небольшой подарок. Потрать его с умом!"

bucketRiverWaterCooking,items,Item,,"Bucket of Boiled Water","Ведро кипячёной воды"
questRewardBoiledWaterBundleDesc,items,Item,,"This bucket contains three drinks of water, 'open' to obtain the drinks.","Это ведро позволит наполнить три бутылки воды. Просто... откройте его."
drugWaterCleanerPills,items,Item,,"Water purification tablets","Таблетки для очистки воды"
drugWaterCleanerPillsDesc,items,Item,,"This hellish mixture of plant ingredients and natural materials somehow miraculously can purify contaminated water during the boiling process. This trick doesn't work with murky water.","Эта адская смесь растительных компонентов и природных материалов каким-то чудом способна очистить заражённую воду в процессе кипячения. С мутной водой этот фокус не работает."

flagBlockVariantHelper,blocks,block,,Flags,Флаги
flagBlockVariantHelperDesc,blocks,block,,"Allows you to place one of several flags variants.","Позволяет разместить один из нескольких вариантов флагов на выбор."

reqLevel15,progression,,,Character Level 15,Уровень персонажа 15
reqLevel35,progression,,,Character Level 35,Уровень персонажа 35
reqLevel55,progression,,,Character Level 55,Уровень персонажа 55
reqLevel75,progression,,,Character Level 75,Уровень персонажа 75
reqLevel95,progression,,,Character Level 95,Уровень персонажа 95

lblContextCraftCount,UI,Item Context Menu,,Count,,"Кол-во"
modGunShotgunTubeExtenderMagazineDesc,item_modifiers,Mod,,"Increases magazine capacity for pump shotguns by 37,5%.","Увеличивает ёмкость магазина помпового ружья на 37,5%".

perkTreasureHunterDesc,progression,perk Per,,"In this cruel world, experience is the ultimate weapon. Learn how to train effectively to learn and evolve faster.","В этом жестоком мире опыт - главное оружие. Научитесь эффективно учиться и развиваться быстрее."
perkTreasureHunterName,progression,perk Per,,EXP Hunter,Охотник за опытом
perkTreasureHunterRank1Desc,progression,perk Per,,Schoolboy,Школьник
perkTreasureHunterRank1LongDesc,progression,perk Per,,Get 10% more experience for every action.,Получайте на 10% больше опыта за каждое действие.
perkTreasureHunterRank2Desc,progression,perk Per,,Student,Студент
perkTreasureHunterRank2LongDesc,progression,perk Per,,Get 20% more experience for every action.,Получайте на 20% больше опыта за каждое действие.
perkTreasureHunterRank3Desc,progression,perk Per,,Postgraduate,Аспирант
perkTreasureHunterRank3LongDesc,progression,perk Per,,Get 30% more experience for every action.,Получайте на 30% больше опыта за каждое действие.
perkTreasureHunterRank4Desc,progression,perk Per,,Junior Researcher,Младший научный сотрудник
perkTreasureHunterRank4LongDesc,progression,perk Per,,Get 40% more experience for every action.,Получайте на 40% больше опыта за каждое действие.
perkTreasureHunterRank5Desc,progression,perk Per,,Professor,Профессор
perkTreasureHunterRank5LongDesc,progression,perk Per,,Get 50% more experience for every action.,Получайте на 50% больше опыта за каждое действие.
