Key,File,Type,UsedInMainMenu,english,russian

resourceBurningDesc,items,Item,,"Special fuel briquettes ensure combustion for up to 600 minutes. Recommended for stable operation and safety of workstations.","Специальные топливные брикеты обеспечивают горение вплоть до 600 минут. Рекомендованы к использованию для стабильной работы и сохранности рабочих станций."
resourceCoal600,items,Item,,"Coal Fuel Briquette","Угольный топливный брикет"
resourceWood600,items,Item,,"Wood Fuel Briquette","Древесный топливный брикет"

lblContextCraftCount,UI,Item Context Menu,,Count,Кол-во

resourceArmorCraftingKit,items,Item,,Armor Crafting Kit,Комплект создания брони

forgelow,blocks,Block,,Artisan Forge,Кустарная кузница
forgelowDesc,blocks,Block,,"You repaired this forge by spending a lot of valuable resources. It works poorly but meets basic needs. Durability is reduced. You will get almost nothing if you dismantle it.","Вы починили эту кузницу, потратив множество ценных ресурсов. Она плохо работает, но базовые потребности обеспечивает. Прочность уменьшена. При разборе вы почти ничего не получите."
workbenchlow,blocks,Block,,Artisan Workbench,Кустарный верстак
workbenchlowDesc,blocks,Block,,"You repaired this workbench by spending a lot of valuable resources. It works poorly but meets basic needs. Durability is reduced. You will get almost nothing if you dismantle it.","Вы починили этот верстак, потратив множество ценных ресурсов. Он плохо работает, но базовые потребности обеспечивает. Прочность уменьшена. При разборе вы почти ничего не получите."
cementMixerlow,blocks,Block,,Artisan Cement Mixer,Кустарная бетономешалка
cementMixerlowDesc,blocks,Block,,"You repaired this mixer by spending a lot of valuable resources. It works poorly but meets basic needs. Durability is reduced. You will get almost nothing if you dismantle it.","Вы починили эту бетономешалку, потратив множество ценных ресурсов. Она плохо работает, но базовые потребности обеспечивает. Прочность уменьшена. При разборе вы почти ничего не получите."
chemistryStationlow,blocks,Block,,Artisan Chemical Station,Кустарная химстанция
chemistryStationlowDesc,blocks,Block,,"You repaired this chemistry station by spending a lot of valuable resources. It works poorly but meets basic needs. Durability is reduced. You will get almost nothing if you dismantle it.","Вы починили эту химстанцию, потратив множество ценных ресурсов. Она плохо работает, но базовые потребности обеспечивает. Прочность уменьшена. При разборе вы почти ничего не получите."

foodRawChickenMeat,items,Item,,Raw Chicken Meat,Сырое куриное мясо
foodRawChickenMeatDesc,items,Item,,"A whole chicken. No chemicals, GMOs, or other marketing scare tactics from the past.","Куриная тушка. Без химии, ГМО и прочих маркетинговых пугалок из прошлого."

zombieDemolition,entityclasses,Entity,,Demolition,Разрушитель
animalChickenHostile,entityclasses,Entity,,Mad Chicken,Курица-убийца

OaksCooker,blocks,Block,,Oakraven Cooker,Большая печь Oakraven
OaksCookerDesc,blocks,Block,,"The Oakraven Cooker allows players to combine recipe ingredients into meals, beverages, and resources.","Печи Oakraven позволяют готовить еду, напитки и различные ресурсы."
PotStove,blocks,Block,,Oakraven Pot Stove,Печь с горшком Oakraven
PotStoveDesc,blocks,Block,,"The Oakraven Pot Stove allows players to combine recipe ingredients into meals, beverages, and resources.","Печи Oakraven позволяют готовить еду, напитки и различные ресурсы."
IronStove,blocks,Block,,Oakraven Iron Stove,Железная печь Oakraven
IronStoveDesc,blocks,Block,,"The Oakraven Iron Stove allows players to combine recipe ingredients into meals, beverages, and resources.","Печи Oakraven позволяют готовить еду, напитки и различные ресурсы."
StoneStove,blocks,Block,,Oakraven Stone Stove,Каменная печь Oakraven
StoneStoveDesc,blocks,Block,,"The Oakraven Stone Stove allows players to combine recipe ingredients into meals, beverages, and resources.","Печи Oakraven позволяют готовить еду, напитки и различные ресурсы."
CookerVariantHelper,blocks,Block,,Oakraven Cookers,Печи Oakraven

CaughtChick,items,Item,,Caught Chick,Цыплёнок (пойман)
CaughtChickDesc,items,Item,,"Use 2 Caught Chicks, with right mouse click, on an Empty Chicken Coop to populate and activate the next stage.","Возьмите 2 пойманных цыплят и разместите их в пустом курятнике, кликнув на нём ПКМ"

birdnestEmpty,blocks,Block,,Empty Bird Nest,Пустое гнездо (проверьте его позже)
IvyCoopEmpty,blocks,Block,,Chicken Coop - Ivy (Use 2 Caught Chicks),Курятник - Плющ (используйте 2 цыплят)
IvyCoopEmptyDesc,blocks,Block,,"Introduce 2 Caught Chicks to the Chicken Coop and over time they will grow and produce eggs and feathers. Search nests and chop down trees to find chicks.","Отправьте 2 пойманных цыплят в курятник. Через некоторое время они вырастут и начнут приносить яйца и перья. Цыплят можно найти в гнёздах."
IvyCoopChicks,blocks,Block,,[66ff00]Growth Stage,Курятник: [66ff00]Цыплята растут
IvyCoopLaying,blocks,Block,,[66ff00]Nesting Stage,Курятник: [66ff00]Гнездование
IvyCoopWithEggs,blocks,Block,,[66ff00]Ready for Gathering,[66ff00]Готово к сбору
BarrelCoopEmpty,blocks,Block,,Chicken Coop - Barrel (Use 2 Caught Chicks),Курятник - Бочка (используйте 2 цыплят)
BarrelCoopChicks,blocks,Block,,[66ff00]Growth Stage,Курятник: [66ff00]Цыплята растут
BarrelCoopLaying,blocks,Block,,[66ff00]Nesting Stage,Курятник: [66ff00]Гнездование
BarrelCoopWithEggs,blocks,Block,,[66ff00]Ready for Gathering,[66ff00]Готово к сбору
StatueCoopEmpty,blocks,Block,,Chicken Coop - Statue (Use 2 Caught Chicks),Курятник - Статуя (используйте 2 цыплят)
StatueCoopChicks,blocks,Block,,[66ff00]Growth Stage,Курятник: [66ff00]Цыплята растут
StatueCoopLaying,blocks,Block,,[66ff00]Nesting Stage,Курятник: [66ff00]Гнездование
StatueCoopWithEggs,blocks,Block,,[66ff00]Ready for Gathering,Курятник: [66ff00]Готово к сбору
GrainCoopEmpty,blocks,Block,,Chicken Coop - Grain (Use 2 Caught Chicks),Курятник - Ферма (используйте 2 цыплят)
GrainCoopChicks,blocks,Block,,[66ff00]Growth Stage,Курятник: [66ff00]Цыплята растут
GrainCoopLaying,blocks,Block,,[66ff00]Nesting Stage,Курятник: [66ff00]Гнездование
GrainCoopWithEggs,blocks,Block,,[66ff00]Ready for Gathering,Курятник: [66ff00]Готово к сбору
ChickenCoopVariantHelper,blocks,Block,,Chicken Coops,Курятник

GrownChicken,blocks,Block,,Grown Domestic Chicken,Взрослая домашняя курица
GrownChickenDesc,blocks,Block,,"A grown domestic chicken can be placed on the ground and butchered for resources.","Взрослую курицу можно разместить в мире и убить, разделав на ресурсы."

foodEggQuiche,items,Food,,Quiche,Киш
foodEggQuicheDesc,items,Food,,"This quiche will keep you regular as clockwork.","Этот пирог поможет вам работать, как часы"
foodEggSandwich,items,Food,,Egg Sandwich,Бутерброд с яйцом
