Key,File,Type,English,russian

resourceScrapBrassBundle,items,Item,Stack of Brass (10000),Запас латуни (10000)
resourceScrapBrassBundleDesc,items,Item,This is a compact stack of brass. Use this item to open and unpack it.,"Компактно упакованная латунь. Откройте, чтобы получить содержимое."
resourceClayLumpBundle,items,Item,Stack of Clay (10000),Запас глины (10000)
resourceClayLumpBundleDesc,items,Item,This is a compact stack of clay. Use this item to open and unpack it.,"Компактно упакованная глина. Откройте, чтобы получить содержимое."
resourceCrushedSandBundle,items,Item,Stack of Crushed Sand (10000),Запас песка (10000)
resourceCrushedSandBundleDesc,items,Item,This is a compact stack of crushed sand. Use this item to open and unpack it.,"Компактно упакованный песок. Откройте, чтобы получить содержимое."
resourceCementBundle,items,Item,Stack of Cement (10000),Запас цемента (10000)
resourceCementBundleDesc,items,Item,This is a compact stack of cement. Use this item to open and unpack it.,"Компактно упакованный цемент. Откройте, чтобы получить содержимое."
resourcePaperBundle,items,Item,Stack of Paper (1000),Запас бумаги (1000)
resourcePaperBundleDesc,items,Item,This is a compact stack of paper. Use this item to open and unpack it.,"Компактно упакованная бумага. Откройте, чтобы получить содержимое."
resourceScrapPolymersBundle,items,Item,Stack of Polymers (1000),Запас синтетического мусора (1000)
resourceScrapPolymersBundleDesc,items,Item,This is a compact stack of polymers. Use this item to open and unpack it.,"Компактно упакованный синтетический мусор. Откройте, чтобы получить содержимое."
resourceCobblestonesBundle,items,Item,Stack of Cobblestones (10000),Запас булыжников (10000)
resourceCobblestonesBundleDesc,items,Item,This is a compact stack of cobblestones. Use this item to open and unpack it.,"Компактно упакованные булыжники. Откройте, чтобы получить содержимое."
resourceConcreteMixBundle,items,Item,Stack of Concrete Mix (1000),Запас бетона (1000)
resourceConcreteMixBundleDesc,items,Item,This is a compact stack of concrete mix. Use this item to open and unpack it.,"Компактно упакованный бетон. Откройте, чтобы получить содержимое."
resourceForgedIronBundle,items,Item,Stack of Forged Iron (1000),Запас слитков железа (1000)
resourceForgedIronBundleDesc,items,Item,This is a compact stack of forged iron. Use this item to open and unpack it.,"Компактно упакованные слитки железа. Откройте, чтобы получить содержимое."
resourceForgedSteelBundle,items,Item,Stack of Forged Steel (1000),Запас слитков стали (1000)
resourceForgedSteelBundleDesc,items,Item,This is a compact stack of forged steel. Use this item to open and unpack it.,"Компактно упакованные слитки стали. Откройте, чтобы получить содержимое."
resourceBuckshotBundle,items,Ammo,Stack of Buckshot (1000),Запас крупной дроби (1000)
resourceBuckshotBundleDesc,items,Ammo,This is a compact stack of buckshot. Use this item to open and unpack it.,"Компактно упакованная крупная дробь. Откройте, чтобы получить содержимое."
resourceBulletCasingBundle,items,Item,Stack of Bullet Casing (1000),Запас гильз (1000)
resourceBulletCasingBundleDesc,items,Item,This is a compact stack of bullet casing. Use this item to open and unpack it.,"Компактно упакованные гильзы. Откройте, чтобы получить содержимое."
resourceBulletTipBundle,items,Item,Stack of Bullet Tip (1000),Запас пуль (1000)
